sentiment,comment
positif,"Produk original, harga produk sangat baik, respon penjual sangat baik, kualitas produk sangat baik, kecepatan pengiriman sangat baik."
positif,"SDCardnya udah di pasang di CCTVnya, mantapppl semoga awet, thanks seller dan kurir sehat dan sukses selaluu"
positif,"Pesanan sdh diterima, blm dicoba mudahan berfungsi, pengiriman kali ini agak lama"
positif,Fitur Terbaik: bagus dan cocok buat CCTV Sepadan dengan Harga: lumayan lah
positif,"Barang sudah diterima dengan baik, sejauh ini gada masalah. Semoga semuanya aman. Thank you seller. Maaf foto dan video tidak sesuai"
positif,Bagus pengiriman cepat barang sesuai
positif,Fitur Terbaik: sesuai deskripsi Belum sempat dipasang di BlackVue.. semoga kompatible
positif,"Cocok buat dashcam mobil, sebelumnya pake Sandisk Ultra gak cocok cepat panas. Pake endurance langsung jos"
positif,"Fitur Terbaik: mantap Sepadan dengan Harga: sepadan Belum dicoba, semoga cocok dan awet 👍"
negatif,"Barang rusak saat tiba, penjual tidak kooperatif, respon penjual lambat."
negatif,"Kualitas jelek, produk palsu, pengiriman sangat lambat."
negatif,"Tidak sesuai ekspektasi, harga tidak sepadan, pengiriman terlambat."
negatif,"Penjual tidak jujur, kualitas buruk, pengiriman lambat."
negatif,"Produk palsu, harga tidak sepadan, penjual tidak profesional, kualitas jelek."
negatif,"Pengiriman sangat lambat, barang rusak saat tiba, tidak sesuai dengan deskripsi."
positif,"Fitur Terbaik: fitur sesuai dengan pesanan Sepadan dengan harga, bagus, berkualitas"
positif,"Wooow, pengiriman lumayan cepat, respon penjual ramah dan fast respon, maaf sedikit salah paham sewaktu unboxing, semoga awet dan bermanfaat"
negatif,Udh di coba.. ssd nya gak berat.. beda dgn hdd.. loading lamaaa
positif,Bagus dan cepat pengirimannya. Cocok untuk macbook pro 2012 saya yg cukup jadul
positif,Bagus yaa barangnya oke banget kirimnua juga oke bgt cepetnyaaa. Pokonya best deh sukaaa 👍🏻👍🏻👍🏻
positif,"Fitur Terbaik: Premium Sepadan dengan Harga: kualitas terbaik Barang original, bagus, terima kasih shopee dan seller barang datang tepat waktu, kurir bagus dan on time... Terima kasih banyak,barang berfungsi dengan baik,mantap dan original..."
positif,Pengiriman cepat dan mendarat dengan tamvan.. mudah-mudahan dapat bekerja dengan semestinya.. thx
positif,"Sudah diterima dengan baik tanggal 2 Januari 2023, aman, dan sesuai dengan pesanan. Sudah ditest dan berfungsi dengan baik, semoga bisa awet dipakai kedepannya. Senang bisa berbelanja di toko ini. Terimakasih."
positif,"Semoga bisa dipakai, laptop ga lelet lagi, kerjaan makin lancar. Aamiin. Min, cara klaim garansinya bgmn kah? Soalnya di box pengiriman tdk ada tanda terima, kartu garansi, maupun kwitansi."
positif,"Fitur Terbaik: SSD Sepadan dengan Harga: iya Kamu nanyae ini Bagus apa engga? Kamu nanyae? Bagus pake banget, maksih semoga awet ya amiin"
positif,"Pelayanan sangat baik dan responsif, barang belum dicoba tapi semoga tidak ada kendala. dan makasih banyak bonusnyaa🙏🏻"
positif,"Rekomended seller sudah sesuai dengan ekspetasi respon cepat penjual bagus, packing ada bubble"
positif,"Packaging tanpa kardus, tapi masih di bubble wrap sih.. pengiriman juga cepat banget."
positif,"Pengemasan dan pengiriman cepat. Dapat bonus kalender juga, thank you."
positif,Dapet bonus. Thankyouu. Belum coba sih. Semoga worked! Hehe
positif,"Ssd sudah terima, belum coba pakai, merasa sangat puas sudah terima."
positif,"Bungkus packingnya tipis bgt 😂., jadinya ada penyot dikit di bagian ujung kemasannya 😂 untung nya gak ada masalah dengan ssdnya .. semoga ditingkatkan lagi packingan produknya okay"
positif,Fitur Terbaik: bagus Belum dicoba.. tapi kalau Sandisk harusnya bagus dong yaaa
negatif,Pengiriman sangat lambat dan barang tiba dalam kondisi rusak. Sangat kecewa.
negatif,Fitur Terbaik: Tidak sesuai deskripsi Harganya terlalu mahal untuk kualitas produk ini. Sangat mengecewakan.
negatif,Pengiriman terlambat dan barang tidak sesuai dengan pesanan. Saya merasa kecewa.
negatif,"Kualitas produk sangat buruk, respon penjual buruk, dan pengiriman sangat lambat. Sangat mengecewakan."
negatif,Tidak cocok untuk penggunaan di laptop saya. Kinerja laptop saya malah lebih buruk. Kecewa sekali.
negatif,Saya merasa sangat kecewa dengan produk ini. Pengiriman terlambat dan pelayanan buruk.
negatif,Barang tiba dalam kondisi rusak dan respon penjual sangat buruk. Sangat mengecewakan.
negatif,Respon penjual yang lambat dan pelayanan yang buruk. Saya merasa sangat kecewa. 
negatif,"Packing sangat buruk, barang tiba dalam kondisi rusak. Kecewa sekali."
negatif,"Sudah saya terima dengan buruk, belum dicoba, tapi saya merasa sangat kecewa. "
negatif,"Harga produk sangat mahal, respon penjual sangat buruk, dan kualitas produk sangat buruk. Sangat mengecewakan."
negatif,Barang rusak saat tiba dan tidak berfungsi dengan baik. Kecewa dengan produk ini.
negatif,Pengiriman sangat lambat dan barang tiba dalam kondisi rusak. Saya merasa sangat kecewa.
negatif,"Barang tidak sesuai dengan deskripsi, sangat mengecewakan. Harganya terlalu tinggi."
negatif,"Packing barang sangat buruk, tidak aman, dan tiba dalam kondisi rusak. Kecewa sekali."
negatif,"Belum dicoba, tapi saya sangat ragu dengan kualitas produk ini. Harga terlalu mahal untuk produk ini."
negatif,Respon penjual yang buruk dan pelayanan sangat lambat. Saya merasa sangat kecewa.
negatif,Pengiriman terlambat dan barang tiba dalam kondisi sangat buruk. Sangat mengecewakan.
positif,"Terimakasih kaka admin semoga barang nya awet dan bagus, dan semoga dagangannya lancar laris manis"
positif,Respon cepat pengiriman cepat berfungsi dengan baik walau nggak riil 128 GB.
positif,"Alhamdulillah Paket Telah Sampai dengan kondisi selamat,  barangnya Bagus, Sangat Recomended & Sesuai dengan pemesanan yang di inginkan, Hargapun Terjangkau,  Chat toko dan tukang paketnya Baik+Ramah, Pengemasan SANGAT SUPER AMAN Semoga makin banyak voucher dan Diskonnya hihi,Terima Kasih Banyak😊🙏"
positif,Alhamdulillah fd nya sudah sampai. Semoga berfungsi dengan baik ya. Kapasitas nya 126 dari 128 ok lah. Insya Allah akan beli lagi✨
positif,Product original Pengiriman cepat Pengepakan standar Thanks seller and Shopee Sukses terus ya Gbu
positif,Good 128GB begitu dipasang menampung 115GB hmmmmmmmmmmmmmm
positif,"Fitur Terbaik: menyimpan data Sepadan dengan Harga: absolutely yes Bagus, dapet diskon 10% jadi 133k Copy file ukuran 2.04 GB butuh waktu 2 menit 30 detik"
negatif,"Fitur Terbaik: belum di coba Sepadan dengan Harga: mahal itu pasti Packing nya cuma pakai amplop biasa tidak ada pengamanan, gak ada nota juga gak tau gimana misal mau ambil garansi, pengiriman shopee express sangat lambat 🙂🙂🙂"
positif,"Admin respon, packing aman, pengiriman 2 hari, barang dikirim aman sampai rumah! bersihnya 114GB bukan 128GB, semoga awett 🙈 Thanks seller, shopee, mang kurir, sehat sehat amanah selalu yaa! 💌"
positif,Fitur Terbaik: ok Sepadan dengan Harga: ok Sesuai pesanan Semoga awet Bener2 original karena ada hologram datascrip Bantu subscribe channel YouTube sya di Surya Putra son Salam sukses n lancar slalu buat lapaknya Trimakasih byk
positif,"Barang sudah sampai, pengiriman lumayan cepat, flashdisk sesuai, sejauh ini masih aman Hanya packingan kurang bagus, hanya amplop biasa, ga ada bubblewrap"
positif,"Fitur Terbaik: sejauh ini baik Sepadan dengan Harga: lumayan Alhamdulillah sampai juga dengan baik dan berfungsi saat dites dan digunakan, semoga awet."
positif,"Trimakasih. Barang sdh d terima. Tolong buat toko, perbaiki packingnya. Minimal pakein bubble wrap dikit lah. Supaya lbh aman 💪🏻"
positif,"Produk original Made in Malaysia, tertera 128GB tapi yang terbaca hanya 117GB. It's ok, semoga produknya awet. Thanks"
positif,"Mantaaaapp..... Tranfer data super cepat... Barang benar"" original"
negatif,"Kok total 115 GB ya, hmmmm jauh bget sama yg tertera 128 GB. Sama kemasan paketan nya cuma kertas cokelat. Semoga aweeeeeeeeeeeeeeeeeetttttttttt laahhh"
positif,Bagus
positif,"Barangnya bagus, cuma pengirimannya pakai ekspedisi AnterAja sering telat update status pengiriman, bikin khawatir paket hilang🙄"
negatif,"Respon lambat pengiriman lambat, barang tidak berfungsi dengan baik."
negatif,"Barang rusak saat tiba, pengemasan buruk, sulit mengklaim garansi."
negatif,"Pengiriman terlambat, barang tidak sesuai pesanan, pelayanan buruk."
negatif,"Fitur Terbaik: tidak sesuai dengan deskripsi, harga mahal."
negatif,"Respon lambat dari penjual, barang tidak terkirim sesuai pesanan."
negatif,"Pengiriman sangat lambat, barang rusak saat tiba, sulit menghubungi penjual."
negatif,"Produk palsu, harga terlalu tinggi, pelayanan buruk."
negatif,"Fitur Terbaik: tidak berfungsi, harga mahal, barang rusak saat tiba."
negatif,"Pengiriman terlambat, pelayanan pelanggan buruk, sulit mengklaim garansi."
negatif,"Respon penjual buruk, packing sangat buruk, pengiriman terlambat."
negatif,"Barang tidak sesuai dengan deskripsi, harga mahal, pengiriman lambat."
negatif,"Produk palsu, harga terlalu tinggi, barang tidak berfungsi dengan baik."
negatif,"Fitur Terbaik: tidak sesuai dengan deskripsi, harga terlalu tinggi."
negatif,"Respon penjual sangat buruk, barang rusak saat tiba, sulit mengklaim garansi."
negatif,"Pengiriman sangat lambat, pelayanan pelanggan sangat buruk, harga terlalu tinggi."
negatif,"Packing sangat buruk, barang tidak sesuai pesanan, pelayanan buruk."
negatif,"Barang rusak saat tiba, harga mahal, sulit menghubungi penjual."
positif,"Product original, sealing plastic, hologram and passed FAKEFLASHTEST."
positif,"Sudah pasti bagus and ori. Pengemasan aman, pengiriman menggunakan ambil di tempat, indomaret. Lebih praktis, bisa diterima saat siap. Kalau diantar ke rumah tidak bisa ditebak kapan kurir datang, kalau pas tidak ada orang bahaya juga kurir suka lempar, bisa merusak produk. Thank u."
positif,Pengemasan rapi dan aman karna bubble wrap nya tebel banget. SD card nya berjalan dengan sangat baik. pas dibuka SD card nya udah ada folder2nya tapi isinya kosong. SD card SanDisk memang terbaik! 🤩
positif,"Fitur Terbaik: Good. Sepadan dengan Harga: worth it. Memori dalam keadaan baik, langsung diaplikasikan ke HP dapat digunakan. Pengiriman cepat. Respon toko juga cepat. Terimakasih seller🙏🏻."
positif,Kualitas produk sangat baik. Produk original. Kecepatan pengiriman sangat baik. Terima kasih.
positif,"Beli 2, udah dicoba 1. Berfungsi dengan baik. Pengemasan pakai bubblewrap saja, mungkin bisa ditingkatkan agar lebih safety."
positif,Prosesnya lama. Pengiriman cepat. Kualitas sangat yakin original. 👍👍👍.
positif,"+Pengiriman cepat +Gak ada yang cacat +Original -Cuma dibungkus amplop coklat, untung gak cacat -Sisa penyimpanan tinggal 119GB sesuai yang difoto."
positif,"Siiippp, udah lewat 3 hari ini alhamdulillah ga ada masalah, mudah²an awet lama yaa Aamiin yra. Nb : musim hujan gini jangan lupa tambah kardus + bubble wrap disetiap orderan yaa biar barang aman + ga kebasahan. 😉."
positif,"Belum di coba, semoga bagus dan bisa di gunakan. Pengirimanya juga cepat, terimakasih kqk."
positif,Fitur Terbaik: pesanan sesuai dengan gambar. Sepadan dengan Harga: harganya terjangkau. Pesanan sudah sampai dan cepat.
positif,Fitur Terbaik: good. Sepadan dengan Harga: good. Belilah di tokonya langsung.. Cari aman bossku.. Ane sudah tobat beli palsu.. Kalo ini kan tak perlu ragu.. Ane pilih lagi yang warna merah kapasitas sama 128 GB karna yang putih sudah rusak full memorynya.
positif,Terima kasih barangnya sudah saya terima. Sudah saya coba dan berfungsi dengan baik. Produk asli.
positif,Sudah sampai.. Sudah di pakai juga.. Jadi di foto gak ada memori nya. Udh masuk di hp 😂😂😂. Terimakasih.. Semoga awet yaa..
positif,"Terima kasih banyak atas kiriman paketnya. Trusted seller, wajib banget buat belanja ini. Memory aman pokoknya."
positif,"Terimakasih barang sudah sampai dengan packing rapih dan aman, ★★★★★ Good, isi lumayan."
positif,"Penjual ramah, fast response, barang sesuai gambar dan deskripsi, packing baik, pengiriman cepat, barang diterima dalam keadaan baik. 👍👍👍👍👍."
positif,"Produk sesuai dengan deskripsi. Sudah digunakan dan berfungsi dengan baik. Mudah2an tidak ada masalah untuk kedepannya. Pengiriman normal, produk di packing dengan baik."
negatif,"Barang rusak saat diterima, pengemasan buruk."
negatif,"Tidak sesuai dengan deskripsi, kapasitas sebenarnya jauh lebih kecil."
negatif,"Pengiriman terlambat, tidak ada pemberitahuan."
negatif,"Kualitas buruk, cepat rusak."
negatif,"Tidak ada garansi, sulit menghubungi penjual."
negatif,Pengiriman lambat dan barang tidak sampai.
negatif,"Barang tidak berfungsi, sia-sia."
negatif,"Penjual tidak responsif, sulit menghubungi."
negatif,"Packing sangat buruk, barang rusak saat sampai."
negatif,"Produk palsu, tidak sesuai dengan deskripsi."
negatif,"Kualitas sangat rendah, tidak tahan lama."
negatif,"Pengiriman sangat lambat, melebihi batas waktu yang dijanjikan."
negatif,"Tidak ada garansi, sulit klaim."
negatif,"Penjual tidak jujur, menyembunyikan informasi produk."
negatif,Barang tidak sesuai dengan gambar yang ditampilkan.
negatif,"Packing sangat buruk, risiko rusak saat pengiriman."
negatif,"Barang tidak berkualitas, sangat kecewa dengan pembelian ini."
negatif,Pengiriman terlalu mahal dan tidak sesuai dengan kualitas barang.
