id,name,category,description,price,countInStock,brand,rating,weight,slug_product
25,GM Bear Alat Pemanggang Daging Hotpot Elektrik (2 in 1) 1247,3,2 in 1 Grill and Pan elektrik ini bisa Anda gunakan untuk memanggang atau menggoreng BBQ makanan favorit anda dan memasak hot pot sekaligus dalam satu waktu,34900,3000,Gm,5.0,1,gm-bear-alat-pemanggang-daging-hotpot-elektrik-2-in-1-1247
26,Rinnai Kompor Gas 3 Tungku RI 524 E,3,Kompor gas dua tungku dan satu tungku untuk grill pan. Kompor series ini dapat,1859300,3000,Rinnai,5.0,1,rinnai-kompor-gas-3-tungku-ri-524-e
27,Rinnai Kompor Gas 1 Tungku RI TL 289 / TL289,3,Rinnai Kompor Gas 1 Tungku Low Pressure – TL289F merupakan salah satu kompor terbaik untuk bidang komersial. Bertipe low pressure atau tekanan gas yang rendah,220900,3000,Rinnai,5.0,1,rinnai-kompor-gas-1-tungku-ri-tl-289-tl289
28,Rinnai Sparepart Burner Head Tornado Kompor Seri 5/6/7,3,"Kepala Tungku Besar Api Tornado Original Kompor Rinnai. Untuk Tipe berikut : RI-602 BGX, RI-712 BGX, RI-511 T, RI-712 T, RI-712 TG",87100,3000,Rinnai,5.0,1,rinnai-sparepart-burner-head-tornado-kompor-seri-567
29,Rinnai Kompor Gas 1 Tungku RI 301S / 301S,3,Rinnai Kompor 1 Tungku – RI301S merupakan salah satu kompor gas Rinnai yang ekonomis. Memiliki tipe api sun burner yang menjadikan apinya menyala merata dan stabil tanpa pembuangan gas secara besar.,696000,3000,Rinnai,5.0,1,rinnai-kompor-gas-1-tungku-ri-301s-301s
30,Rinnai Kompor Gas 2 Tungku RI 2 RSP / 2 RSP,3,"Rinnai Kompor Gas RI-2RSP dengan desain finishing berwarna menawan membuat dapur Anda terlihat lebih modern dan rapi, cocok untuk Anda yang memperhatikan keindahan dapur Anda. Selain memperhatikan",1859300,3000,Rinnai,5.0,1,rinnai-kompor-gas-2-tungku-ri-2-rsp-2-rsp
31,Xiaomi TV A2 43 [FHD] Smart HD Dolby Audio,4,Memiliki desain layar penuh. Desain bezel ultra-tipis menghadirkan rasio antara layar dan bodi yang jauh lebih baik dibandingkan TV standar.,2790000,3000,Xiaomi,1.0,5,xiaomi-tv-a2-43-fhd-smart-hd-dolby-audio
32,Xiaomi Redmi Buds 4 Active - Bluetooth® 5.3,4,"Dengan Driver Dinamis 12mm yang lebih besar dari sebelumnya oleh penyetelan ahli oleh Xiaomi Acoustic Lab, Redmi Buds 4 Active dapat menghadirkan bass dan akustik yang ditingkatkan, memberikan pengalaman mendengarkan yang menyenangkan",249000,3000,Xiaomi,1.0,5,xiaomi-redmi-buds-4-active-bluetooth-53
33,Xiaomi POCO X5 Pro 5G (6GB/128GB),4,Xiaomi POCO X5 Pro 5G (6GB/128GB) | (8GB/256GB) Snapdragon 778G 5G 120Hz AMOLED 67W 108MP NFC,3819000,3000,Xiaomi,1.0,5,xiaomi-poco-x5-pro-5g-6gb128gb
34,Xiaomi TV Box S (2nd Gen) 4K Ultra HD,4,"4K Ultra HD memiliki resolusi 3840 x 2160 piksel, yang empat kali lebih banyak dari resolusi Full HD (1920 x 1080 piksel).",1044802,3000,Xiaomi,1.0,5,xiaomi-tv-box-s-2nd-gen-4k-ultra-hd
35,Xiaomi POCO M5 (4/64GB),4,POCO M5 menggunakan prosesor octa-core MediaTek Helio G99 memiliki arsitektur CPU terdepan di industri dan GPU MC2 Mali-G57 tangguh yang mampu menghasilkan performa hebat untuk pengalaman pengguna yang mengesankan.,1599000,3000,Xiaomi,1.0,5,xiaomi-poco-m5-464gb
36,BARDI Smart Indoor PTZ IP Camera CCTV,4,BARDI Smart Indoor PTZ IP Camera CCTV Wifi IoT Home Automation + Micro SD,108000,3000,Bardi,1.0,5,bardi-smart-indoor-ptz-ip-camera-cctv
37,BARDI Smart LIGHT BULB,4,"BARDI Smart Light Bulb dapat mengubah suasana dengan pengaturan tingkat keterangan dan warna. Untuk memudahkan pengguna, warna dibagi menjadi 2 pengaturan yaitu ke warm white (2700-6500k), dan beragam warna (RGB).",120000,3000,Bardi,1.0,5,bardi-smart-light-bulb
38,BARDI Smart UNIVERSAL IR REMOTE,4,BARDI Universal IR Remote 12M merupakan remote infrared pintar yang dapat dikendalikan melalui aplikasi selama BARDI Universal IR Remote 12M terhubung ke wifi/hotspot.,135000,3000,Bardi,1.0,5,bardi-smart-universal-ir-remote
39,BARDI Dual Smart Plug,4,"BARDI Dual Smart Plug merupakan steker pintar yang bisa diatur melalui aplikasi. Dengan plug ini, segala perangkat dengan daya listrik 220v dapat diputus atau disambungkan arus listrik sesuai keinginan.",15000,3000,Bardi,1.0,5,bardi-dual-smart-plug
40,BARDI Bundling Smart IP Camera CCTV Outdoor PTZ + Micro SD,4,BARDI Universal IR Remote 12M merupakan remote infrared pintar yang dapat dikendalikan melalui aplikasi selama BARDI Universal IR Remote 12M terhubung ke wifi/hotspot.,230000,3000,Bardi,1.0,5,bardi-bundling-smart-ip-camera-cctv-outdoor-ptz-micro-sd
